"lat","lon","cell_id","year","biomass"
34.3828153524272,-119.506139338185,10,2020,2332
34.3828220327684,-119.505813321332,11,2020,2076
34.3828287122423,-119.505487304371,12,2020,1657
34.3830789622634,-119.506473414174,16,2020,2204
34.3830856435393,-119.506147396383,17,2020,2270
34.3830923239478,-119.505821378484,18,2020,2038
34.3830990034888,-119.505495360478,19,2020,2461
34.3831056821625,-119.505169342365,20,2020,1203
34.3833425710842,-119.506807492255,23,2020,1178
34.3833492532947,-119.506481473525,24,2020,2736
34.3833559346378,-119.506155454688,25,2020,1958
34.3833626151135,-119.505829435744,26,2020,2211
34.3833692947218,-119.505503416692,27,2020,2002
34.3833759734626,-119.505177397534,28,2020,1201
34.3836195443123,-119.506489532983,29,2020,3169
34.3836262257227,-119.506163513101,30,2020,2132
34.3836329062656,-119.505837493111,31,2020,970
34.3836395859411,-119.505511473014,32,2020,803
34.3904607846964,-119.541927916227,325,2020,99
34.3908260075064,-120.121623289542,413,2020,541
34.3908343288222,-120.121297414267,416,2020,629
34.3911044765424,-120.121307451696,491,2020,159
34.3918122011027,-119.541968794989,675,2020,206
34.3918189784399,-119.541642752273,677,2020,266
34.3920553660449,-119.543281145026,744,2020,192
34.3920824843429,-119.541976971068,752,2020,331
34.3920892617484,-119.541650927307,754,2020,636
34.3920960382862,-119.541324883436,755,2020,259
34.3932545319939,-119.713943649805,1093,2020,699
34.3932617678114,-119.713617646548,1096,2020,890
34.3932690027616,-119.713291643176,1100,2020,494
34.3934466775056,-119.729609228209,1180,2020,760
34.3934539550969,-119.729283228458,1182,2020,1692
34.3934612318209,-119.72895722859,1185,2020,832
34.3934757826672,-119.728305228504,1190,2020,361
34.3934830567895,-119.727979228285,1192,2020,347
34.3935175410629,-119.714278383289,1199,2020,1347
34.3935247778205,-119.713952379104,1201,2020,2902
34.3935320137108,-119.713626374802,1204,2020,3115
34.3935392487338,-119.713300370384,1209,2020,2998
34.3935464828895,-119.71297436585,1213,2020,1551
34.393553716178,-119.712648361199,1217,2020,270
34.3936573755528,-119.720155188012,1268,2020,173
34.3937096412684,-119.729944008601,1286,2020,1548
34.3937169198001,-119.729618007922,1288,2020,1195
34.3937241974645,-119.729292007125,1291,2020,1178
34.3937314742617,-119.728966006212,1295,2020,1375
34.3937387501917,-119.728640005182,1298,2020,920
34.3937460252544,-119.728314004034,1301,2020,1258
34.3937532994499,-119.72798800277,1303,2020,1252
34.3937877868028,-119.71428711375,1312,2020,2464
34.3937950236332,-119.713961108519,1315,2020,2018
34.3938022595963,-119.713635103172,1319,2020,3645
34.3938094946921,-119.713309097708,1324,2020,3728
34.3938167289206,-119.712983092129,1328,2020,3073
34.3938239622819,-119.712657086433,1332,2020,1577
34.3938986012376,-119.721467952967,1374,2020,1868
34.3939058572209,-119.721141949252,1376,2020,1888
34.3939131123368,-119.720815945421,1378,2020,1014
34.3939726040035,-119.730278791084,1395,2020,1828
34.3939798834757,-119.729952789476,1397,2020,2882
34.3939871620806,-119.729626787751,1399,2020,3136
34.3939944398183,-119.729300785909,1402,2020,3031
34.3940017166887,-119.72897478395,1406,2020,3583
34.3940089926918,-119.728648781875,1409,2020,2559
34.3940162678277,-119.728322779682,1412,2020,1580
34.3940235420964,-119.727996777373,1415,2020,464
34.3940652694319,-119.713969838051,1428,2020,1011
34.3940725054678,-119.713643831658,1433,2020,3308
34.3940797406364,-119.713317825149,1437,2020,4229
34.3940869749378,-119.712991818524,1440,2020,2911
34.3940942083718,-119.712665811782,1444,2020,1320
34.3941615884224,-119.721802711305,1481,2020,2704
34.3941688453459,-119.721476706661,1483,2020,2888
34.3941761014021,-119.7211507019,1485,2020,3135
34.394183356591,-119.720824697023,1487,2020,1545
34.3942355657111,-119.730613575657,1500,2020,1029
34.3942428461237,-119.730287573121,1502,2020,2703
34.3942501256691,-119.729961570467,1504,2020,3112
34.3942574043472,-119.729635567697,1506,2020,3606
34.3942646821581,-119.72930956481,1508,2020,3510
